"design","rho_target","rho_U","rho_V","rho_achieved","a0","a1","a2","c0","c1","c2","b0","b1","b2","sigma_eY","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
"D1",0.1,0.1,1.38777878078145e-17,0.1,0,0.408248290463863,3.72529029846191e-09,0,0.244948974278318,3.72529029846191e-09,0,0.3,0.3,1,0.424281331375166,0.0328628916277901,1,0.418078736932676,0.0329841760142309,1,0.0622993627871952,0.0329554671023576,0.489,0.424280990557015,0.0328795441559777,1,-0.000658010425448489,0.0328754780402427,0.045,0.418077420060818,0.0330011163942255,1,0.0622904005726956,0.032974204372938,0.488,-0.000688473552524158,0.0328347229295359,0.047,0.0338704629559169,0.0338607265979855,0.033305078072299,0.0339018133759816,0.0325719562311894,0.0338899034925313,0.0333331184666826,0.0325154614918029,0.124281331375166,0.118078736932676,0.124280990557015,0.118077420060818,"sim","classical","norm",NA,1000,1000,314
"D1",0.15,0.1,0.05,0.15,0,0.408248290463863,0.223606797749979,0,0.244948974278318,0.223606797749979,0,0.3,0.3,1,0.420428633628122,0.0328721971855272,1,0.411738025932798,0.0332153895473416,1,0.0577174240506505,0.0331749137119636,0.429,0.42679706392419,0.0337282442187327,1,-0.0283658856193561,0.033701792170318,0.131,0.419821055920176,0.0338700754409364,1,0.065799170139074,0.0338319004813118,0.5,-0.0415129541345548,0.0343295903626281,0.228,0.0320065625330269,0.0326386749630626,0.0333948301432195,0.0330264074421629,0.0341694538068926,0.0333534915276789,0.0341907643283443,0.0350165427903579,0.120428633628122,0.111738025932798,0.12679706392419,0.119821055920176,"sim","classical","norm",NA,1000,1000,314
"D1",0.2,0.1,0.1,0.2,0,0.408248290463863,0.316227766016838,0,0.244948974278318,0.316227766016838,0,0.3,0.3,1,0.422892645056353,0.0327844122539417,1,0.412766497377812,0.0334345626648586,1,0.0509811860644936,0.0334148955500931,0.339,0.436348004363055,0.0345451920935443,1,-0.042729627732021,0.0345562990272097,0.22,0.42895610046825,0.0347097893970943,1,0.0673153011200032,0.0346975213387879,0.503,-0.0616494043232839,0.0358669080825519,0.414,0.0327432619626766,0.0334281681915353,0.0339508039531223,0.0346540228837936,0.0331217089147391,0.0348129334660825,0.0354456131211335,0.034832929246988,0.122892645056353,0.112766497377812,0.136348004363055,0.12895610046825,"sim","classical","norm",NA,1000,1000,314
"D1",0.25,0.1,0.15,0.25,0,0.408248290463863,0.387298334620742,0,0.244948974278318,0.387298334620742,0,0.3,0.3,1,0.423154565737948,0.0327970844883685,1,0.411375072233556,0.0338575361160429,1,0.0470654193267868,0.033891043878345,0.28,0.445114249903884,0.0355192517204669,1,-0.0568938337439721,0.0355032655524817,0.366,0.43652059026968,0.0357171790662623,1,0.0722893897061974,0.0357587456048801,0.523,-0.0814526366195478,0.0374707411590322,0.598,0.0329156940094551,0.0337979410394827,0.0349349530489601,0.0357495463027739,0.0359282386585722,0.0358653590693137,0.0371485232341758,0.0382115469027494,0.123154565737948,0.111375072233556,0.145114249903884,0.13652059026968,"sim","classical","norm",NA,1000,1000,314
"D1",0.3,0.1,0.2,0.3,0,0.408248290463863,0.447213595499958,0,0.244948974278318,0.447213595499958,0,0.3,0.3,1,0.422277877743676,0.0327858108543966,1,0.410244208513262,0.0343745929123187,1,0.0399935224120651,0.0343689481743173,0.206,0.452216158320834,0.0365988698002867,1,-0.0670312431802685,0.036597218754856,0.451,0.443020185809687,0.036839834576336,1,0.0729343851048767,0.0368630462476046,0.512,-0.0955686860469752,0.0392942896006082,0.672,0.0334114638471481,0.0350481769918316,0.0333255407132472,0.0364122293392809,0.0369465331955861,0.0368051757940029,0.0355733038193424,0.0395519166567889,0.122277877743676,0.110244208513262,0.152216158320834,0.143020185809687,"sim","classical","norm",NA,1000,1000,314
"D1",0.35,0.1,0.25,0.35,0,0.408248290463863,0.5,0,0.244948974278318,0.5,0,0.3,0.3,1,0.422551815864583,0.0328113558956104,1,0.41010756489509,0.0350288339683767,1,0.035476599931854,0.0350226210920085,0.178,0.462917353501985,0.0378226960359144,1,-0.0805448379087408,0.0377682945643964,0.564,0.452520793726496,0.0381038865699725,1,0.0779206140376865,0.0381053026884182,0.534,-0.11432226205768,0.0411634956410471,0.804,0.0324159079816547,0.0351013623121883,0.0347139198501336,0.037743974028133,0.0364598712666707,0.0383775257864921,0.0371544462761624,0.0391278360863367,0.122551815864583,0.11010756489509,0.162917353501985,0.152520793726496,"sim","classical","norm",NA,1000,1000,314
"D1",0.4,0.1,0.3,0.4,0,0.408248290463863,0.547722557505166,0,0.244948974278318,0.547722557505166,0,0.3,0.3,1,0.421596595600799,0.0328363867343055,1,0.409345024235244,0.0358273221897515,1,0.0307058499720361,0.0358359835595331,0.124,0.473671984045751,0.0391207911831143,1,-0.0953020183487696,0.0391581923199203,0.686,0.461781506633504,0.0394622582981798,1,0.0831401261331719,0.0394766250969105,0.56,-0.134312781639106,0.0432500135724016,0.866,0.0325480114057661,0.0350625574737906,0.0346416976941048,0.0389994652781092,0.0395425424296774,0.0391490094167319,0.0387819627148218,0.044307402446481,0.121596595600799,0.109345024235244,0.173671984045751,0.161781506633504,"sim","classical","norm",NA,1000,1000,314
"D1",0.45,0.1,0.35,0.45,0,0.408248290463863,0.591607978309962,0,0.244948974278318,0.591607978309962,0,0.3,0.3,1,0.423057107700806,0.0328382562348532,1,0.412958996033112,0.0367950637004745,1,0.0224492589895071,0.0367962351178239,0.0969999999999999,0.489687991215239,0.0406267689838458,1,-0.112427980650122,0.040613523582343,0.782,0.476450449995819,0.0410527215590075,1,0.0855937348920341,0.0410019901265769,0.544,-0.155112585982807,0.0454213751827521,0.923,0.0315124452241486,0.0357921028193201,0.0370714283780153,0.0393741554914096,0.0414821411567203,0.0400483937573161,0.0404236565476084,0.0457021892424623,0.123057107700806,0.112958996033112,0.189687991215239,0.176450449995819,"sim","classical","norm",NA,1000,1000,314
"D1",0.5,0.1,0.4,0.5,0,0.408248290463863,0.632455532033676,0,0.244948974278318,0.632455532033676,0,0.3,0.3,1,0.422382902488532,0.032818246667066,1,0.414341132889466,0.0378837697509694,1,0.0161125791178497,0.0379081109232002,0.076,0.503809148483927,0.0421411363221018,1,-0.12906279653144,0.0421829244952142,0.855,0.488759474916087,0.0426578779466814,1,0.0908972982641266,0.0427342678151246,0.575,-0.177057560459963,0.0477726015407282,0.954,0.0326685552731035,0.037293040261986,0.038564948636547,0.0419584072658067,0.0432583213957074,0.0424286623361102,0.0438630631672253,0.0490800773298493,0.122382902488532,0.114341132889466,0.203809148483927,0.188759474916087,"sim","classical","norm",NA,1000,1000,314
"D1",0.55,0.1,0.45,0.55,0,0.408248290463863,0.670820393249937,0,0.244948974278318,0.670820393249937,0,0.3,0.3,1,0.42268223627569,0.0327805296476948,1,0.418747851443333,0.0392417649241763,1,0.0071864198138123,0.0393224826326751,0.063,0.52223350105839,0.0439531120212528,1,-0.148562535784343,0.043997417811877,0.932,0.505305815809991,0.044614105869806,1,0.0940168660644406,0.0447168774577292,0.554,-0.200214137010448,0.0503167651800888,0.986,0.0334876379545992,0.0389309749198394,0.0392252789114602,0.0438432447331448,0.0423753444261667,0.0442651707621062,0.0445739499166523,0.0485506635821163,0.12268223627569,0.118747851443333,0.22223350105839,0.205305815809991,"sim","classical","norm",NA,1000,1000,314
"D1",0.6,0.1,0.5,0.6,0,0.408248290463863,0.707106781186548,0,0.244948974278318,0.707106781186548,0,0.3,0.3,1,0.420962317440874,0.0328448173840242,1,0.421507017113578,0.0410771399159041,1,-0.000875168967724112,0.0410472217446948,0.0470000000000001,0.543829752850186,0.0461581335214677,1,-0.173697153723233,0.0461693918536981,0.975,0.523563168447003,0.0470212969781528,1,0.10120306602218,0.046988533234411,0.586,-0.231005138065237,0.0532243724146938,0.994,0.0322114539244901,0.0394621313510818,0.0408084163048237,0.0438401149430422,0.0437717209907082,0.0445748456722287,0.0467912844889491,0.0508085053527202,0.120962317440874,0.121507017113578,0.243829752850186,0.223563168447003,"sim","classical","norm",NA,1000,1000,314
"D1",0.65,0.1,0.55,0.65,0,0.408248290463863,0.741619848709566,0,0.244948974278318,0.741619848709566,0,0.3,0.3,1,0.422420407749843,0.0328426180573037,1,0.431265784320211,0.0432483148584446,1,-0.0136620059608599,0.0432768980976805,0.071,0.57293058072973,0.0485517812122632,1,-0.203052448966826,0.0485683579289977,0.985,0.549657751104136,0.0497143701491704,1,0.104933642468994,0.0497632584652348,0.556,-0.263603341444437,0.0563319225820739,0.997,0.0325821082964371,0.0435966015032516,0.043457192218289,0.0482512906498012,0.0482729363968877,0.0494182454561314,0.0521310783428397,0.0582052173111983,0.122420407749843,0.131265784320211,0.27293058072973,0.249657751104136,"sim","classical","norm",NA,1000,1000,314
"D1",0.7,0.1,0.6,0.7,0,0.408248290463863,0.774596669241483,0,0.244948974278318,0.774596669241483,0,0.3,0.3,1,0.422693582214609,0.0328457693491144,1,0.441368634379427,0.0459820162172025,1,-0.0267207993498191,0.046019130873017,0.0909999999999999,0.60745302289659,0.0513684146507927,1,-0.238659544015411,0.0513741739285069,0.997,0.579545291287654,0.0529520142365999,1,0.111974591545422,0.0530434662961053,0.582,-0.303729684745056,0.0598451347096891,1,0.0328198208990538,0.0451709903825823,0.0461319411334845,0.0518475749304903,0.0529403246163781,0.0531013919949722,0.0518723974665372,0.0602502860996116,0.122693582214609,0.141368634379427,0.30745302289659,0.279545291287654,"sim","classical","norm",NA,1000,1000,314
"D1",0.75,0.1,0.65,0.75,0,0.408248290463863,0.806225774829855,0,0.244948974278318,0.806225774829855,0,0.3,0.3,1,0.422322028072083,0.0327926786672739,1,0.454504312458875,0.0495932964879166,1,-0.0428533691767498,0.0496426808383424,0.147,0.649915274123365,0.0547252229332298,1,-0.282552942249217,0.0547851743159516,1,0.616051772142719,0.0570248446573799,1,0.118587546701519,0.0570612025372926,0.528,-0.350796684166114,0.0637817886239598,1,0.0325515329851149,0.0499342180593866,0.0507154255031258,0.05423914268679,0.0547439761457206,0.0568967840486156,0.0578324379895686,0.0633322800086911,0.122322028072083,0.154504312458875,0.349915274123365,0.316051772142719,"sim","classical","norm",NA,1000,1000,314
"D1",0.8,0.1,0.7,0.8,0,0.408248290463863,0.836660026534076,0,0.244948974278318,0.836660026534076,0,0.3,0.3,1,0.420415710173747,0.032819102371496,1,0.475210739428124,0.0547566703525055,1,-0.0683584325387943,0.0547308880976668,0.243,0.706340694892397,0.0589833251436783,1,-0.341421195896229,0.0589493582675155,0.999,0.665405839883776,0.0624887278310502,1,0.122422876958092,0.0625250136518851,0.497,-0.409682816280422,0.0684159884697599,1,0.0331314277258499,0.0550470872468518,0.0564681962094514,0.0619731863623247,0.0622619316409352,0.064971789429122,0.0644632212572029,0.0715710098215527,0.120415710173747,0.175210739428124,0.406340694892397,0.365405839883776,"sim","classical","norm",NA,1000,1000,314
"D1",0.85,0.1,0.75,0.85,0,0.408248290463863,0.866025403784439,0,0.244948974278318,0.866025403784439,0,0.3,0.3,1,0.421870898689002,0.032838352617935,1,0.518448023211539,0.06227410800482,1,-0.113583976602573,0.0622895436702351,0.437,0.792547559081498,0.0642813695352499,1,-0.428077878931707,0.0642871197125267,1,0.746500000368985,0.0700756203984023,1,0.11521673044527,0.0701391531040776,0.364,-0.487908778703894,0.0738595146184057,1,0.0326471212955623,0.062058735874435,0.0625288882625229,0.0655101943176079,0.0663304064897422,0.0707547955385916,0.0696676897369994,0.0754403901300304,0.121870898689002,0.218448023211539,0.492547559081498,0.446500000368985,"sim","classical","norm",NA,1000,1000,314
"D1",0.9,0.1,0.8,0.9,0,0.408248290463863,0.894427190999916,0,0.244948974278318,0.894427190999916,0,0.3,0.3,1,0.422397626789021,0.0327947107903601,1,0.595651091000034,0.0750610951500866,1,-0.192449440979392,0.0750421375291099,0.722,0.912354977606541,0.0713384927898277,1,-0.547725375422029,0.0713370668455189,1,0.87146193840996,0.0824005841993412,1,0.0815569663368921,0.0822689947211027,0.167,-0.584097010443677,0.0802214724110004,1,0.0325364162226911,0.0762965760712222,0.0760314860534728,0.0708827686042504,0.0706738381970099,0.082858038570787,0.0828151833277326,0.0791935215618167,0.122397626789021,0.295651091000034,0.612354977606541,0.57146193840996,"sim","classical","norm",NA,1000,1000,314
